customer_id,first_name,last_name,email,country,registration_date,customer_segment,lifetime_value
1001,First_0,Last_0,customer0@email.com,USA,2020-01-01 00:00:00,Gold,151.71
1002,First_1,Last_1,customer1@email.com,France,2020-01-01 06:00:00,Bronze,141.83
1003,First_2,Last_2,customer2@email.com,UK,2020-01-01 12:00:00,Bronze,1183.59
1004,First_3,Last_3,customer3@email.com,Canada,2020-01-01 18:00:00,Bronze,143.54
1005,First_4,Last_4,customer4@email.com,USA,2020-01-02 00:00:00,Bronze,158.69
1006,First_5,Last_5,customer5@email.com,USA,2020-01-02 06:00:00,Bronze,712.31
1007,First_6,Last_6,customer6@email.com,USA,2020-01-02 12:00:00,Bronze,298.68
1008,First_7,Last_7,customer7@email.com,Germany,2020-01-02 18:00:00,Bronze,749.64
1009,First_8,Last_8,customer8@email.com,UK,2020-01-03 00:00:00,Silver,33.8
1010,First_9,Last_9,customer9@email.com,UK,2020-01-03 06:00:00,Silver,334.3
1011,First_10,Last_10,customer10@email.com,USA,2020-01-03 12:00:00,Silver,17.1
1012,First_11,Last_11,customer11@email.com,France,2020-01-03 18:00:00,Bronze,32.35
1013,First_12,Last_12,customer12@email.com,Germany,2020-01-04 00:00:00,Bronze,1184.56
1014,First_13,Last_13,customer13@email.com,USA,2020-01-04 06:00:00,Gold,74.97
1015,First_14,Last_14,customer14@email.com,USA,2020-01-04 12:00:00,Bronze,380.09
1016,First_15,Last_15,customer15@email.com,USA,2020-01-04 18:00:00,Bronze,264.75
1017,First_16,Last_16,customer16@email.com,USA,2020-01-05 00:00:00,Gold,213.35
1018,First_17,Last_17,customer17@email.com,Canada,2020-01-05 06:00:00,Bronze,1150.46
1019,First_18,Last_18,customer18@email.com,Canada,2020-01-05 12:00:00,Bronze,11.03
1020,First_19,Last_19,customer19@email.com,USA,2020-01-05 18:00:00,Gold,545.01
1021,First_20,Last_20,customer20@email.com,UK,2020-01-06 00:00:00,Bronze,1653.78
1022,First_21,Last_21,customer21@email.com,USA,2020-01-06 06:00:00,Silver,410.68
1023,First_22,Last_22,customer22@email.com,USA,2020-01-06 12:00:00,Bronze,1380.9
1024,First_23,Last_23,customer23@email.com,USA,2020-01-06 18:00:00,Bronze,26.84
